nba_id,positions
203926,"['PF', 'SF']"
101143,"['PG', 'SG']"
101139,"['PF', 'SG']"
689,['C']
2078,['UN']
203126,"['PF', 'SF']"
2561,"['PF', 'SF']"
1501,"['PF', 'SF']"
202337,"['PF', 'SF']"
203129,['UN']
200793,['UN']
201181,"['PF', 'SF']"
1888,"['PG', 'SG']"
2215,['C']
2554,"['PF', 'SF']"
1517,"['PG', 'SG']"
202712,['UN']
202392,"['PF', 'SF']"
204066,"['SF', 'PG']"
1902,"['SF', 'C']"
203114,"['SF', 'PG']"
948,"['C', 'PF']"
203524,"['PF', 'SF']"
202716,['C']
201202,['C']
204025,"['PG', 'SG']"
203086,"['SF', 'C']"
203922,"['SF', 'PG']"
200747,"['PF', 'SF']"
2198,['C']
959,"['PG', 'SG']"
1752,['UN']
1503,"['SF', 'PG']"
202362,"['PF', 'SG']"
203945,['UN']
1885,"['PF', 'SF']"
203468,"['PG', 'SG']"
200780,['UN']
1733,"['PF', 'SF']"
201581,"['C', 'PF']"
200771,"['PG', 'SG']"
203530,"['C', 'PF']"
202710,"['SF', 'PG']"
202688,"['PG', 'SG']"
2366,['UN']
2546,"['PF', 'SF']"
202238,"['PG', 'SG']"
201160,"['SF', 'C']"
2572,['UN']
203963,"['SF', 'C']"
2222,"['PF', 'SF']"
203109,"['PF', 'SF']"
203104,"['PG', 'SG']"
200978,"['SF', 'PG']"
203102,"['PF', 'SF']"
2199,['C']
101158,['UN']
202686,"['PF', 'SF']"
203111,['UN']
200757,"['PF', 'SF']"
2669,"['PF', 'SF']"
2397,['C']
201043,['C']
201208,['C']
101138,"['PF', 'SF']"
202355,['C']
2408,"['C', 'PF']"
201953,['UN']
201163,"['PF', 'SF']"
965,"['PG', 'SG']"
201631,['UN']
202332,['C']
2563,"['SF', 'PG']"
2210,"['PF', 'SF']"
201177,"['PF', 'SF']"
202343,['UN']
2788,['C']
203210,"['PF', 'SF']"
202389,['C']
203994,['C']
203496,"['PF', 'SF']"
203968,['UN']
2863,"['SF', 'PG']"
203473,['C']
202349,"['PG', 'SG']"
202327,"['PF', 'SF']"
2049,"['PG', 'SG']"
203958,['UN']
201981,"['PF', 'SF']"
202708,"['PG', 'SG']"
203561,['UN']
203584,"['PG', 'SG']"
203495,"['PG', 'SG']"
203122,"['PG', 'SG']"
200748,['UN']
202719,"['PF', 'SF']"
200754,['C']
202336,['UN']
201596,['UN']
203200,"['PG', 'SG']"
1499,['C']
202364,"['PF', 'SF']"
1710,"['PG', 'SG']"
1887,"['SF', 'PG']"
255,"['PF', 'SF']"
202345,"['PF', 'SF']"
201973,"['PF', 'SF']"
201621,"['PG', 'SG']"
203112,"['PF', 'SF']"
203091,['UN']
101146,['UN']
202726,"['PG', 'SG']"
1510,"['PG', 'SG']"
200752,"['PF', 'SF']"
2405,"['SF', 'C']"
202178,"['PG', 'SG']"
