nba_id,stattleship_slug
2399,nba-mike-dunleavy
202690,nba-jimmer-fredette
2547,nba-chris-bosh
2045,nba-hedo-turkoglu
202685,nba-jonas-valanciunas
1627293,nba-alex-stepheson
203937,nba-kyle-anderson
1740,nba-rashard-lewis
204038,nba-langston-galloway
1626148,nba-anthony-brown
2566,nba-travis-outlaw
1626172,nba-kevon-looney
203546,nba-ian-clark
2557,nba-luke-ridnour
203545,nba-miroslav-raduljica
200756,nba-hilton-armstrong
203552,nba-seth-curry
203949,nba-james-michael-mcadoo
201933,nba-blake-griffin
201148,nba-brandan-wright
202711,nba-bojan-bogdanovic
200779,nba-steve-novak
101204,nba-dwayne-jones
201600,nba-omer-asik
203957,nba-dante-exum
203519,nba-adonis-thomas
2039,nba-keyon-dooling
201189,nba-aaron-gray
1626143,nba-jahlil-okafor
203156,nba-henry-sims
951,nba-ray-allen
202227,nba-terrel-harris
2731,nba-emeka-okafor
202684,nba-tristan-thompson
101142,nba-ronny-turiaf
2201,nba-eddy-curry
1626273,nba-marcelo-huertas
2427,nba-roger-mason-jr
201563,nba-michael-beasley
203564,nba-kalin-lucas
201964,nba-victor-claver
201578,nba-marreese-speights
203146,nba-maalik-wayns
204014,nba-damjan-rudez
201978,nba-chase-budinger
202346,nba-dominique-jones
203144,nba-alexey-shved
202699,nba-tobias-harris
101215,nba-will-conroy
101122,nba-danny-granger
2749,nba-jameer-nelson
201569,nba-eric-gordon
203461,nba-anthony-bennett
2588,nba-matt-bonner
101133,nba-ian-mahinmi
203991,nba-clint-capela
201980,nba-danny-green
203932,nba-aaron-gordon
203128,nba-furkan-aldemir
201943,nba-brandon-jennings
201203,nba-mustafa-shakur
201566,nba-russell-westbrook
1626168,nba-trey-lyles
1717,nba-dirk-nowitzki
201601,nba-luc-mbah-a-moute
201942,nba-demar-derozan
201175,nba-glen-davis
202725,nba-josh-harrellson
1495,nba-tim-duncan
201961,nba-wayne-ellington
2554,nba-mickael-pietrus
203486,nba-mason-plumlee
2440,nba-matt-barnes
2248,nba-earl-watson
203894,nba-shabazz-napier
203120,nba-justin-hamilton
202951,nba-jeremy-pargo
203501,nba-tim-hardaway-jr
202701,nba-nolan-smith
203934,nba-lamar-patterson
202970,nba-gustavo-ayon
202361,nba-landry-fields
202347,nba-quincy-pondexter
203116,nba-tyshawn-taylor
203135,nba-robert-sacre
200777,nba-joel-freeland
201952,nba-jeff-teague
202697,nba-iman-shumpert
203094,nba-andrew-nicholson
202333,nba-xavier-henry
203084,nba-harrison-barnes
201583,nba-ryan-anderson
203471,nba-dennis-schroder
203492,nba-ray-mccallum
201858,nba-cartier-martin
