nba_id,game_time,played_at_home,played_against,plus_minus,time_played_total,rebounds_total,assists,steals,blocks,turnovers,points
201939,1453698000000,nba-sas,True,23,28,2,3,5,0,1,37
201939,1453870800000,nba-dal,True,26,32,2,9,3,1,0,14
201939,1454130000000,nba-phi,False,17,34,5,6,1,2,8,23
201939,1454216400000,nba-nyk,False,10,32,4,4,3,0,3,13
201939,1454475600000,nba-was,False,20,36,7,2,3,0,7,51
201939,1454734800000,nba-okc,True,3,38,6,10,3,0,3,26
201939,1454994000000,nba-hou,True,3,38,5,9,1,0,1,35
201939,1455080400000,nba-phx,False,12,30,9,9,1,1,2,26
201939,1455858000000,nba-por,False,-18,26,3,5,2,0,3,31
201939,1455944400000,nba-lac,False,4,36,3,9,3,0,3,23
201939,1456117200000,nba-atl,False,13,36,6,8,3,0,2,36
201939,1456290000000,nba-mia,False,7,36,7,7,1,1,7,42
201939,1456376400000,nba-orl,False,11,34,7,8,0,1,5,51
201939,1456549200000,nba-okc,False,6,38,3,6,2,0,3,46
201939,1456981200000,nba-okc,True,6,37,4,4,1,1,1,33
201939,1457240400000,nba-lal,False,-8,34,6,4,1,0,4,18
201939,1457326800000,nba-orl,True,21,37,13,3,4,0,5,41
201939,1457499600000,nba-uta,True,12,32,3,10,3,0,3,12
201939,1457672400000,nba-por,True,14,29,3,4,2,0,3,34
201939,1457758800000,nba-phx,True,19,35,3,6,0,0,1,35
201939,1457928000000,nba-nop,True,27,31,5,5,2,0,1,27
201939,1458100800000,nba-nyk,True,31,28,6,4,0,0,2,34
201939,1458273600000,nba-dal,False,7,34,9,10,2,0,1,31
201939,1458360000000,nba-sas,False,-10,38,6,6,2,0,2,14
201939,1458532800000,nba-min,False,0,35,7,11,3,1,5,19
201939,1458705600000,nba-lac,True,4,37,4,5,3,0,1,33
201939,1458878400000,nba-dal,True,15,35,8,8,4,0,3,33
201939,1459051200000,nba-phi,True,4,33,3,8,4,0,4,20
201939,1459224000000,nba-was,True,15,35,7,7,5,0,5,26
201939,1459310400000,nba-uta,False,6,42,7,4,2,0,5,31
201939,1459483200000,nba-bos,True,-1,37,5,6,1,0,9,29
201939,1459656000000,nba-por,True,16,35,6,7,2,1,4,39
201939,1459828800000,nba-min,True,3,43,6,15,3,0,3,21
201939,1460001600000,nba-sas,True,14,36,5,9,2,0,3,27
201939,1460174400000,nba-mem,False,10,34,9,8,1,0,2,17
201939,1460260800000,nba-sas,False,7,35,5,5,2,0,4,37
201939,1460520000000,nba-mem,True,19,30,4,6,2,0,2,46
